GRUPO ETÁRIO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Total,95513298,96322635,97132054,97931331,98744098,99581002,100379640,101163599,101971173,102760295,103527689,104271843,104990487,105681529,106345043,106981304,107589495,108168830,108718587,109238514,109728762,110189007,110618592,111017537,111386062,111724392,112032426,112309958,112557327,112774820,112962751,113121438,113251454,113353443,113427597,113474061,113493052,113485011,113450253,113388652,113300060,113184593,113042592,112874076,112678873,112456873,112208379,111934042,111634119,111308845,110958642
0-4,7594516,7513761,7477567,7449337,7451690,7507226,7527223,7530642,7565301,7571223,7536789,7523299,7509386,7455164,7395678,7331364,7263006,7192133,7120032,7047528,6975778,6905062,6835307,6767195,6701192,6637231,6575502,6516373,6459937,6405936,6354123,6304598,6257751,6213632,6171861,6132043,6093885,6056997,6020798,5984802,5948471,5911502,5873639,5834370,5793447,5750809,5706456,5660575,5613249,5564770,5515605
5-9,8094637,7962532,7856445,7764679,7678145,7574960,7495049,7459700,7432381,7435509,7491634,7512252,7516076,7550810,7556858,7522618,7509351,7495730,7441882,7382807,7318878,7250909,7180401,7108665,7036481,6965042,6894634,6825161,6757331,6691592,6627900,6566392,6507477,6451252,6397457,6345822,6296474,6249795,6205831,6164206,6124537,6086502,6049752,6013699,5977830,5941609,5904776,5867020,5827860,5787041,5744493
10-14,8842587,8760868,8596730,8405865,8224795,8080135,7948620,7843086,7751948,7666040,7563501,7484190,7449226,7422072,7425264,7481411,7502112,7506047,7540921,7547162,7513141,7500066,7486634,7433002,7374143,7310452,7242697,7172400,7100861,7028875,6957623,6887413,6818125,6750468,6684877,6621345,6559981,6501187,6445082,6391415,6339911,6290699,6244133,6200276,6158737,6119162,6081226,6044568,6008592,5972801,5936671
15-19,8673836,8693267,8745322,8804210,8829069,8795446,8715095,8552810,8364062,8185062,8042202,7912260,7807878,7717747,7632793,7531320,7453057,7418949,7392651,7396587,7453221,7474403,7478801,7514010,7520683,7487251,7474592,7461547,7408463,7350163,7287028,7219811,7150062,7079046,7007575,6936806,6867067,6798239,6731019,6665837,6602699,6541729,6483312,6427561,6374235,6323041,6274127,6227836,6184244,6142973,6103630
20-24,8746116,8711375,8663577,8614902,8583358,8578611,8600164,8654720,8716490,8744065,8712945,8634909,8475014,8288587,8111918,7971317,7843582,7741213,7653070,7570037,7470597,7394220,7361652,7336794,7341891,7399228,7421254,7426487,7462264,7469669,7437195,7425286,7412946,7360848,7303529,7241380,7175120,7106330,7036251,6965698,6895815,6826928,6758931,6692510,6628106,6565701,6505416,6447653,6392537,6339825,6289218
25-29,8574606,8629711,8657414,8662143,8651184,8630266,8598875,8555561,8512314,8485534,8484394,8508378,8563553,8624538,8651626,8621118,8544666,8387530,8204388,8031009,7893232,7767999,7667829,7581750,7500675,7403356,7328943,7297950,7274594,7280847,7338836,7361712,7367822,7404119,7412226,7380713,7369573,7357978,7306911,7250628,7189512,7124285,7056509,6987423,6917849,6848930,6780967,6713878,6648312,6584723,6523112
30-34,7821287,7982363,8131551,8263753,8373348,8457008,8514439,8545686,8555280,8549320,8532944,8505514,8464499,8421615,8394693,8393527,8417664,8473141,8534872,8563312,8534665,8460519,8306365,8126302,7955838,7820545,7697488,7599240,7514973,7435649,7340229,7267552,7237960,7215936,7223197,7281677,7305262,7312099,7348805,7357492,7326843,7316343,7305373,7255224,7199860,7139664,7075362,7008494,6940318,6871646,6803583
35-39,6857527,6990523,7155946,7341635,7527745,7700900,7862666,8013399,8148183,8260741,8347421,8407755,8440996,8451369,8446055,8430688,8404634,8365378,8324589,8299702,8300209,8325674,8382118,8444696,8474256,8447253,8375224,8223858,8046719,7879049,7746136,7625181,7528741,7446144,7368454,7274845,7203808,7175501,7154681,7162834,7221685,7245877,7253323,7290325,7299496,7269639,7259722,7249292,7200007,7145508,7086207
40-44,6405478,6465519,6511227,6557089,6624863,6727359,6861189,7027271,7213769,7400750,7574836,7737477,7888496,8022898,8135221,8222214,8283430,8318165,8330545,8327522,8314471,8290745,8253830,8215289,8192354,8194452,8221147,8278370,8341585,8372088,8346626,8276663,8128189,7954176,7789503,7659150,7540448,7445888,7365050,7289066,7197348,7128025,7100999,7081359,7090362,7149455,7174123,7182135,7219317,7228927,7199896
45-49,5768516,5880219,5985481,6082367,6167931,6241647,6303978,6352579,6401687,6472175,6576419,6711034,6876531,7061277,7246407,7419108,7580798,7731316,7865760,7978594,8066468,8128987,8165432,8179855,8179060,8168292,8146911,8112423,8076237,8055349,8059034,8086849,8144623,8208179,8239414,8215443,8147699,8002569,7832277,7671186,7543900,7427925,7335566,7256745,7182722,7093220,7025894,7000246,6981909,6991754,7050917
50-54,4900002,5040349,5178764,5313246,5441195,5561009,5673316,5779573,5877917,5965268,6041008,6105571,6156429,6207294,6278778,6383077,6516900,6680739,6863310,7046315,7217244,7377487,7526925,7660698,7773367,7861606,7925036,7962995,7979372,7980824,7972437,7953589,7921753,7888179,7869486,7874764,7903569,7961564,8025093,8056849,8034455,7969304,7828334,7662799,7506320,7382926,7270417,7180814,7104474,7032873,6946162
55-59,3954821,4089187,4227766,4368987,4510555,4650762,4789417,4926386,5059761,5186871,5306101,5418069,5523994,5622071,5709488,5785731,5851268,5903677,5956190,6028485,6132308,6264412,6425224,6603964,6783080,6950611,7107892,7254823,7386666,7498065,7585774,7649457,7688505,7706661,7710316,7704363,7688149,7659220,7628530,7612199,7619074,7648657,7706356,7769208,7801082,7780353,7718248,7582612,7423293,7272866,7154556
60-64,3081961,3198692,3313737,3429277,3548963,3674713,3805186,3939707,4076794,4214303,4350563,4485379,4618536,4748149,4871821,4988027,5097383,5201061,5297302,5383487,5458969,5524298,5577221,5630273,5702081,5803746,5932098,6087478,6259725,6432268,6593867,6745779,6887959,7015825,7124175,7209866,7272652,7311982,7331395,7336975,7333300,7319725,7293901,7266311,7252466,7260725,7290580,7347073,7408221,7439552,7420473
65-69,2253998,2339108,2439108,2549140,2661907,2773210,2883883,2993314,3103440,3217426,3337000,3460918,3588535,3718492,3848844,3978090,4106032,4232502,4355732,4473440,4584216,4688647,4787847,4880176,4963105,5036045,5099560,5151653,5203924,5273663,5371091,5493166,5640066,5802391,5964930,6117373,6260872,6395434,6516731,6619770,6701600,6762068,6800700,6820803,6827971,6826458,6815605,6793193,6769102,6757874,6767303
70-74,1689818,1732563,1770303,1809593,1859518,1924795,2003224,2094581,2194687,2297297,2398778,2499910,2600243,2701380,2806006,2915566,3028989,3145702,3264515,3383680,3501868,3618911,3734717,3847628,3955595,4057304,4153367,4244811,4330120,4406952,4474742,4534111,4583407,4633065,4698510,4788775,4900975,5035044,5182591,5330211,5468808,5599462,5722265,5833225,5927673,6002895,6058911,6095418,6115370,6123684,6124121
75-79,1105206,1144121,1190922,1240998,1288273,1330216,1368574,1403314,1439622,1484658,1542105,1610235,1688895,1774682,1862608,1949716,2036732,2123408,2210961,2301516,2396166,2494028,2594665,2697044,2799720,2901547,3002440,3102353,3199832,3293112,3381052,3464237,3543625,3617852,3684841,3744109,3796312,3840217,3884676,3942722,4021823,4119269,4234768,4361237,4487603,4606394,4718561,4824282,4920042,5001664,5066803
80-84,677628,692280,707304,724631,746369,773094,804695,841980,881564,919059,952619,983758,1012641,1042996,1079956,1126100,1180178,1242110,1309326,1378193,1446541,1514999,1583484,1652852,1724591,1799420,1876683,1956079,2036796,2117674,2197885,2277383,2356175,2433074,2506675,2576080,2641835,2704769,2763770,2817079,2864310,2906165,2941812,2978203,3025436,3089091,3166772,3257946,3357133,3456065,3549148
85-89,314944,340306,359247,374268,387076,398787,410381,422377,435871,452078,471252,493422,519178,546326,572074,595279,617114,637836,659812,686235,718616,756161,798785,844827,891952,938795,985869,1033177,1081264,1131002,1182750,1236101,1290875,1346482,1402163,1457337,1512013,1566262,1619219,1669886,1717634,1762927,1806456,1847353,1884307,1917047,1946213,1971377,1997388,2031094,2076107
90+,155814,155891,163643,175211,188114,200858,213666,226913,240102,252916,265178,277513,290381,304062,318955,335033,352599,372193,392729,412903,432174,451480,471355,492517,515998,542216,571089,602780,636664,672043,708423,746158,785393,826114,868408,912170,957358,1003936,1051543,1099797,1148335,1197201,1246463,1295445,1343371,1389754,1435003,1479630,1522751,1563205,1600637
